parent_directory,is_file,name,size_in_bytes
C:\Users\ÿ\Desktop\python_home_work\.git\objects\97,True,29e1ef8a6b5789f8175f6e536de23713eca5da,496
C:\Users\ÿ\Desktop\python_home_work\.git\objects\97,True,824ec9b0149e48c91dce4fee530335b327c686,66
C:\Users\ÿ\Desktop\python_home_work\.git\objects\a2,True,1c2959791993cf167cd6536146363fc004a16d,290
C:\Users\ÿ\Desktop\python_home_work\.git\objects\a8,True,dd389a1fcf345cae037f00fda3d65d29256648,265
C:\Users\ÿ\Desktop\python_home_work\.git\objects\ad,True,65c6f10f9038246f376234396a70e1c738c5f6,2652
C:\Users\ÿ\Desktop\python_home_work\.git\objects\ad,True,c6aebf03d0bf8e5273b19ef6f3eaaa5405b2b6,83
C:\Users\ÿ\Desktop\python_home_work\.git\objects\b2,True,3eff69b126dbfeac65d62ae828b09f2a638459,384
C:\Users\ÿ\Desktop\python_home_work\.git\objects\c1,True,da14194e7935fee207d727176338f97034dd9e,134
C:\Users\ÿ\Desktop\python_home_work\.git\objects\c3,True,18c1a259bc07a89503e8cf185733dd1b1c45e0,694
C:\Users\ÿ\Desktop\python_home_work\.git\objects\c3,True,2244d7af026535e52377bf3bc483c5694e5815,213
C:\Users\ÿ\Desktop\python_home_work\.git\objects\ce,True,3005bc735e2a3cea48c10f188d4a7e9788230a,2794
C:\Users\ÿ\Desktop\python_home_work\.git\objects\d6,True,337ee5421b2dc29192346db6fd0e29d4c06619,490
C:\Users\ÿ\Desktop\python_home_work\.git\objects\de,True,b3ea5a1be2ddadf499cb3c72339ecdaa24cfc8,214
C:\Users\ÿ\Desktop\python_home_work\.git\objects\de,True,c3e5415b5ca20908d60ae9323a58d20f96dc72,1890
C:\Users\ÿ\Desktop\python_home_work\.git\objects\e0,True,d2a549a63ca3bc0abe13cb5b9d50b5d21e8aeb,848
C:\Users\ÿ\Desktop\python_home_work\.git\objects\e5,True,2a1ec92046b357bd81eb8030d3da49c3d46918,1441
C:\Users\ÿ\Desktop\python_home_work\.git\objects\e6,True,9de29bb2d1d6434b8b29ae775ad8c2e48c5391,15
C:\Users\ÿ\Desktop\python_home_work\.git\objects\e6,True,c189a9f2ab06f4e3e47b3c2ded9d8d3227dda3,863
C:\Users\ÿ\Desktop\python_home_work\.git\objects\e6,True,f49fa956d1e28e30ed198921a3949816441a4c,147
C:\Users\ÿ\Desktop\python_home_work\.git\objects\ed,True,5b1acfad2aceddb33c12e4cc32061d64873972,122
